Month,Year,Gross_sales_amount
9,2019,9092670.3392
10,2019,10378637.5961
11,2019,15231894.9669
12,2019,9755795.0577
1,2020,9584951.9393
2,2020,8083995.5479
3,2020,766976.4531
4,2020,800071.9543
5,2020,1586964.4768
6,2020,3429736.5712
7,2020,5151815.4020
8,2020,5638281.8287
9,2020,19530271.3028
10,2020,21016218.2095
11,2020,32247289.7946
12,2020,20409063.1769
1,2021,19570701.7102
2,2021,15986603.8883
3,2021,19149624.9239
4,2021,11483530.3032
5,2021,19204309.4095
6,2021,15457579.6626
7,2021,19044968.8164
8,2021,11324548.3409
